gebakken;baked;9
gedag zeggen;to say hello;7
geduldig;patient;3
geel;yellow;10
geen;no;1
geen dank;don’t mention it;6
geitenkaas, de;goat cheese, the;9
gek;crazy;4
geld, het;money, the;6
geleden;ago;8
geloven;to believe;9
geluk, het;luck, the / happiness, the;2
gelukkig;luckily / happy;3
gemeen;mean;3
gerookt;smoked;9
gescheiden;divorced;3
gespierd;muscular;3
gestolen;stolen;3
getal, het;number, the;1
getrouwd;married;3
geur, de;smell, the;10
geven;to give;1
gewicht, het;weight, the;5
gewoon;just / normal;4
gezellig;nice, cosy, pleasant;1
gezond;healthy;9
gisteravond;yesterday evening;8
gisteren;yesterday;8
gitaar, de;guitar, the;2
goed;good;1
goedemorgen;good morning;6
goedkoop;cheap;7
gooien;to throw;7
graag;to like to do, please;2
gram, het;gram, the;5
grappig;funny;3
gratis;for free;5
grijs;grey;10
groen;green;3
groente, de;vegetable, the;5
groep, de;group, the;1
grond, de;ground, floor, the;7
groot;big;5
ha;hi;2
haar, het;hair, the;3
haasten (zich -);to hurry;4
hagelslag, de;chocolate sprinkles, the;5
half;half;4
handig;convenient / handy;7
handschoen, de;glove, the;10
hangen;to hang;7
hardlopen;to run;4
hebben;to have;1
heel;very;1
heerlijk;delicious, lovely, wonderful;8
helemaal;totally;3
helpen;to help;5
herhalen;to repeat;3
het;the / it;1
heten;to be named, to be called;1
hier;here;7
hij;he;1
hobby, de;hobby, the;2
hoe;how;1
hoek, de;corner, the;10
hoeveel;how much;1
hoezo;why, how so;7
hoi;hi;1
hond, de;dog, the;4
honger, de;hunger, the;6
honger hebben;to be hungry;6
hoofd, het;head, the;10
hoofdgerecht, het;main course, the;9
hoofdstuk, het;chapter, the;1
hoog;high;10
horen;to hear;6
hotel, het;hotel, the;6
houden;to hold;6
houden van;to love;2
huis, het;house, the;1
huishoudartikel, het;household product, the;5
huisnummer, het;house number, the;2
hulp, de;help, the;10
huren;to rent;7
huur, de;rent, the;1
idee, het;idea, the;7
ieder;every;2
iedereen;everybody;2
iemand;somebody;3
iets;something;7
ijs, het;ice cream, the;5
ijsje, het;ice cream;8
ijverig;diligent;3
ik;I;1
inchecken;to check in;6
informatie, de;information, the;6
ingang, de;entrance, the;5
inpakken;to pack;6
insmeren;to grease / to rub on;8
instappen;to get in;6
insteken;to put in;6
instructie, de;instructions, the;6
intelligent;intelligent;4
interessant;interesting;9
invoeren;to enter;6
irritant;irritating;4
irriteren;to irritate;8
Italië;Italy;1
ja;yes;1
